run,suite,variant,cfg_model,cfg_n_factors,cfg_lookback,cfg_objective,cfg_gamma,cfg_turnover_bps,cfg_short_bps,cfg_protocol,cfg_train_window,cfg_test_start,cfg_retrain_every,cfg_epochs,cfg_batch_dates,cfg_learning_rate,cfg_dropout,cfg_features,cfg_attention_heads,cfg_transformer_ff,cfg_seed,cfg_device,cfg_neutralize,cfg_cost_weight,observations,start_date,end_date,sharpe,mean_return,volatility,sortino,calmar,cagr,total_return,max_drawdown,max_drawdown_duration_days,hit_rate,positive_month_fraction,skewness,excess_kurtosis,var_95,cvar_95,hac_t_stat,hac_p_value,turnover,short_fraction,net_exposure,effective_positions,active_days_fraction,break_even_cost_bps,net_sharpe,net_mean_return,net_volatility,runtime_seconds,cfg_kind,cfg_members,cfg_smoothing_days,cfg_dataset,cfg_factor_model,cfg_max_blocks
ensemble__final-cnn_neutral_cw0.5_k6_b1__ens,ensemble,final-cnn_neutral_cw0.5_k6_b1,cnn_transformer,6,30,sharpe_costs,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,4,16,-1,mps,True,0.5,1483,2020-02-07,2025-12-31,0.5538211612491027,0.024254664603569558,0.04379512070081423,0.8195983167411882,0.38689813896323005,0.02356843114496754,0.14693037098837936,-0.060916372480167014,375,0.4996628455832771,0.5915492957746479,0.1875649678826857,3.1333298654097055,0.00426946419510931,0.005896438163917463,1.416769237966678,0.1565504063529893,0.5219488021262296,0.5,-1.0315844629555953e-18,35.80838024864221,1.0,1.8440250972835242,-1.2364135914018888,-0.05415150108667664,0.04379723861275077,0.0,ensemble,"['final__cnn_neutral_cw0.5_k6__s0', 'final__cnn_neutral_cw0.5_k6__s1', 'final__cnn_neutral_cw0.5_k6__s2']",1.0,,,
ensemble__final-cnn_neutral_cw0.5_k6_b20__ens,ensemble,final-cnn_neutral_cw0.5_k6_b20,cnn_transformer,6,30,sharpe_costs,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,4,16,-1,mps,True,0.5,1483,2020-02-07,2025-12-31,0.4613724763650254,0.020472686713059653,0.04437344610228162,0.6728217494980202,0.20219617072597215,0.0196785851692729,0.12151694629328746,-0.09732422280114517,394,0.5077545515846258,0.5352112676056338,-0.013994543525706104,2.9885785117770354,0.0042603037900470824,0.006014724850945886,1.1460077133165525,0.2517919605487191,0.10093223372067611,0.5,8.873112772882676e-19,35.03831117311822,1.0,8.049046106989799,-0.11089220401765487,-0.004921162152165762,0.04437789108585376,0.0,ensemble,"['final__cnn_neutral_cw0.5_k6__s0', 'final__cnn_neutral_cw0.5_k6__s1', 'final__cnn_neutral_cw0.5_k6__s2']",20.0,,,
ensemble__final-cnn_neutral_cw0.5_k6_b2__ens,ensemble,final-cnn_neutral_cw0.5_k6_b2,cnn_transformer,6,30,sharpe_costs,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,4,16,-1,mps,True,0.5,1483,2020-02-07,2025-12-31,0.536961806194227,0.023495470147196246,0.04375631539554527,0.7916497914843496,0.49578727076804185,0.022793567282396676,0.14183021776690152,-0.04597449072681181,341,0.5198921105866486,0.5211267605633803,0.2580257833160855,3.6484748250639205,0.004299481736529715,0.005903172550197215,1.3763610587297601,0.16870987783355673,0.3617915888962538,0.5,6.204839045053933e-19,36.30180487451523,1.0,2.577063577736745,-0.7939216489922547,-0.03474449409944925,0.04376312718459226,0.0,ensemble,"['final__cnn_neutral_cw0.5_k6__s0', 'final__cnn_neutral_cw0.5_k6__s1', 'final__cnn_neutral_cw0.5_k6__s2']",2.0,,,
ensemble__final-cnn_neutral_cw0.5_k6_b3__ens,ensemble,final-cnn_neutral_cw0.5_k6_b3,cnn_transformer,6,30,sharpe_costs,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,4,16,-1,mps,True,0.5,1483,2020-02-07,2025-12-31,0.6276864751922528,0.027693934462838684,0.04412064869544364,0.9179966180403565,0.511499261927086,0.02707965200458462,0.1702788500685919,-0.05294172254044194,329,0.528658125421443,0.5492957746478874,0.11074309665073266,3.541014178475791,0.004396492131298262,0.006014759649405875,1.580487915631642,0.11399517217452589,0.2866050838797976,0.5,4.828464766136557e-19,36.44138288962384,1.0,3.834424841354721,-0.4776222322515789,-0.02107891821621888,0.04413303400231156,0.0,ensemble,"['final__cnn_neutral_cw0.5_k6__s0', 'final__cnn_neutral_cw0.5_k6__s1', 'final__cnn_neutral_cw0.5_k6__s2']",3.0,,,
ensemble__final-cnn_neutral_cw0.5_k6_b5__ens,ensemble,final-cnn_neutral_cw0.5_k6_b5,cnn_transformer,6,30,sharpe_costs,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,4,16,-1,mps,True,0.5,1483,2020-02-07,2025-12-31,0.5335359914859836,0.023733621389855585,0.04448363703403332,0.7684574260426744,0.29544091372794873,0.023003849421738387,0.14321242967343406,-0.07786277510270989,322,0.5246122724207687,0.5633802816901409,-0.008564336019548908,4.1138380501917675,0.004381157244730863,0.006257729128033172,1.3050047000534926,0.1918912473665737,0.21336054636685522,0.5,-1.3532605032535272e-18,36.42141396327912,1.0,4.414173044879415,-0.35550621139899713,-0.015816642631840717,0.04449048181070779,0.0,ensemble,"['final__cnn_neutral_cw0.5_k6__s0', 'final__cnn_neutral_cw0.5_k6__s1', 'final__cnn_neutral_cw0.5_k6__s2']",5.0,,,
ensemble__final-cnn_neutral_cw0.5_k7_b10__ens,ensemble,final-cnn_neutral_cw0.5_k7_b10,cnn_transformer,7,30,sharpe_costs,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,4,16,-1,mps,True,0.5,1483,2020-02-07,2025-12-31,0.4810731861120673,0.01947574360994112,0.04048395165679467,0.6966099322894372,0.2553057585900971,0.0188306917744685,0.11603995040131676,-0.07375741102926658,752,0.5050573162508429,0.5211267605633803,-0.02759064962259142,2.6649210115655304,0.0038446896345115064,0.005646938004662461,1.1254100292452747,0.26041532310424464,0.15844245733442133,0.5,5.763091086816966e-19,35.957911197014305,1.0,4.87777696490294,-0.32501834621323394,-0.013159507194489871,0.04048850579608927,0.0,ensemble,"['final__cnn_neutral_cw0.5_k7__s0', 'final__cnn_neutral_cw0.5_k7__s1', 'final__cnn_neutral_cw0.5_k7__s2']",10.0,,,
ensemble__final-cnn_neutral_cw0.5_k7_b1__ens,ensemble,final-cnn_neutral_cw0.5_k7_b1,cnn_transformer,7,30,sharpe_costs,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,4,16,-1,mps,True,0.5,1483,2020-02-07,2025-12-31,0.55614018507784,0.02206133228798995,0.0396686534797016,0.8071069190900748,0.3044096159293427,0.021501626708106736,0.1333685311671695,-0.07063386168818508,1115,0.5158462575859744,0.5774647887323944,0.028944187774660964,2.5200092558208578,0.003895807197874107,0.0053974702794823025,1.3691225279340047,0.17096097745991645,0.49252468713527087,0.5,5.509929331226275e-19,36.26543518198575,1.0,1.7774737324535668,-1.327361448568139,-0.05263989487191794,0.039657543865464856,0.0,ensemble,"['final__cnn_neutral_cw0.5_k7__s0', 'final__cnn_neutral_cw0.5_k7__s1', 'final__cnn_neutral_cw0.5_k7__s2']",1.0,,,
ensemble__final-cnn_neutral_cw0.5_k7_b20__ens,ensemble,final-cnn_neutral_cw0.5_k7_b20,cnn_transformer,7,30,sharpe_costs,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,4,16,-1,mps,True,0.5,1483,2020-02-07,2025-12-31,0.2752257629057435,0.011311305763580328,0.041098281077175565,0.3947127137081769,0.12862494821671047,0.010521407590367904,0.06353066056468726,-0.08179912012591195,719,0.5131490222521915,0.5633802816901409,-0.091472326914273,3.1479672197999413,0.004035021123240593,0.005714527046401846,0.6595130168196359,0.5095663901087827,0.11077225064699463,0.5,-1.0314862231262442e-18,34.94713048519771,1.0,4.052109957168179,-0.3726464303791651,-0.015321549197859056,0.041115513121297007,0.0,ensemble,"['final__cnn_neutral_cw0.5_k7__s0', 'final__cnn_neutral_cw0.5_k7__s1', 'final__cnn_neutral_cw0.5_k7__s2']",20.0,,,
ensemble__final-cnn_neutral_cw0.5_k7_b2__ens,ensemble,final-cnn_neutral_cw0.5_k7_b2,cnn_transformer,7,30,sharpe_costs,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,4,16,-1,mps,True,0.5,1483,2020-02-07,2025-12-31,0.5080042119095606,0.020419838517662495,0.04019619924194215,0.7335310509009366,0.2893851021814698,0.01980482088700075,0.12233427495103277,-0.06843759660641202,741,0.5205664194200944,0.5774647887323944,-0.0017883616354443135,3.0350328847309553,0.003953823382110777,0.0055148713138182,1.209110828321787,0.2266202696848113,0.37053747860626335,0.5,-8.495186434016036e-19,36.48382753039961,1.0,2.1868531500135737,-0.9685966231559746,-0.03892136475617754,0.040183254644601395,0.0,ensemble,"['final__cnn_neutral_cw0.5_k7__s0', 'final__cnn_neutral_cw0.5_k7__s1', 'final__cnn_neutral_cw0.5_k7__s2']",2.0,,,
ensemble__final-cnn_neutral_cw0.5_k7_b3__ens,ensemble,final-cnn_neutral_cw0.5_k7_b3,cnn_transformer,7,30,sharpe_costs,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,4,16,-1,mps,True,0.5,1483,2020-02-07,2025-12-31,0.614302372126223,0.02494635682894079,0.04060924710838488,0.8980522246558122,0.31321967830779496,0.02441412468513371,0.15251829199634237,-0.07794569235570958,500,0.5232636547538773,0.5633802816901409,0.10790919143994376,3.684096707273513,0.003740298636167663,0.005492229557661365,1.4372543282400614,0.15064574103260928,0.30076443666673464,0.5,-9.085859119607747e-19,36.514693780942864,1.0,3.2913957706247894,-0.6307771191628085,-0.025609371281411664,0.0405997150235909,0.0,ensemble,"['final__cnn_neutral_cw0.5_k7__s0', 'final__cnn_neutral_cw0.5_k7__s1', 'final__cnn_neutral_cw0.5_k7__s2']",3.0,,,
