base,other,smoothing_days,year,base_sharpe,other_sharpe
full_paper__ff5,full_paper_costs__ff5,1,2003,2.6321684070162266,2.2332538157798374
full_paper__ff5,full_paper_costs__ff5,1,2004,3.2363256377559235,3.5372925929620935
full_paper__ff5,full_paper_costs__ff5,1,2005,2.0503669481134925,1.9723712456647537
full_paper__ff5,full_paper_costs__ff5,1,2006,2.391929060373943,-0.8956053292787757
full_paper__ff5,full_paper_costs__ff5,1,2007,0.9654151911026723,1.639668979745993
full_paper__ff5,full_paper_costs__ff5,1,2008,3.203912676745512,0.1263961442665529
full_paper__ff5,full_paper_costs__ff5,1,2009,1.527823221948266,1.9899804350654575
full_paper__ff5,full_paper_costs__ff5,1,2010,2.5060346695815103,2.6591056146831935
full_paper__ff5,full_paper_costs__ff5,1,2011,1.1584729894031465,-0.7059115339091947
full_paper__ff5,full_paper_costs__ff5,1,2012,2.396461357044033,1.081812997644585
full_paper__ff5,full_paper_costs__ff5,1,2013,2.428895297918807,0.6049320253732084
full_paper__ff5,full_paper_costs__ff5,1,2014,2.9847224680778086,-0.6469348627341649
full_paper__ff5,full_paper_costs__ff5,1,2015,1.4174924380875376,0.8998543558419237
full_paper__ff5,full_paper_costs__ff5,1,2016,1.8051999582163611,0.7504284026163522
full_paper__ff5,full_paper_costs__ff5,5,2003,1.1944831202630395,0.6710918030526756
full_paper__ff5,full_paper_costs__ff5,5,2004,3.5361423558468212,2.866245269466005
full_paper__ff5,full_paper_costs__ff5,5,2005,3.795755572817007,1.9417499742245372
full_paper__ff5,full_paper_costs__ff5,5,2006,1.1732191052467416,-0.9434296825316049
full_paper__ff5,full_paper_costs__ff5,5,2007,0.9724829153631861,0.7407653646995006
full_paper__ff5,full_paper_costs__ff5,5,2008,2.148375742931487,-0.24316499600062946
full_paper__ff5,full_paper_costs__ff5,5,2009,0.950167103467445,2.0322782479056714
full_paper__ff5,full_paper_costs__ff5,5,2010,1.2688058350509452,2.502776830863853
full_paper__ff5,full_paper_costs__ff5,5,2011,-0.01130312637526459,-1.4282800118191514
full_paper__ff5,full_paper_costs__ff5,5,2012,1.0465089888188805,1.072315745664765
full_paper__ff5,full_paper_costs__ff5,5,2013,1.8360041116564243,1.36839436791342
full_paper__ff5,full_paper_costs__ff5,5,2014,1.4036441993327364,-0.7989834327334451
full_paper__ff5,full_paper_costs__ff5,5,2015,1.0384101715959293,0.6706428139075493
full_paper__ff5,full_paper_costs__ff5,5,2016,1.1449884875953107,0.8577021059399667
full_paper__ff5,full_paper_costs__ff5,20,2003,1.195171969866279,1.0530863122259322
full_paper__ff5,full_paper_costs__ff5,20,2004,1.9554636097547011,1.824475243308399
full_paper__ff5,full_paper_costs__ff5,20,2005,1.2779658678361752,1.5869954965185058
full_paper__ff5,full_paper_costs__ff5,20,2006,-0.18106248480131087,-0.90036428101836
full_paper__ff5,full_paper_costs__ff5,20,2007,-0.9392150384784627,0.2669441546190442
full_paper__ff5,full_paper_costs__ff5,20,2008,0.21260050266412556,-0.38666232319049126
full_paper__ff5,full_paper_costs__ff5,20,2009,1.9972038437207125,2.593770130266961
full_paper__ff5,full_paper_costs__ff5,20,2010,-1.2736987036088137,2.4703336748969753
full_paper__ff5,full_paper_costs__ff5,20,2011,-0.3063661917245064,-1.0968256267065748
full_paper__ff5,full_paper_costs__ff5,20,2012,0.9871426218515432,0.6516110241072128
full_paper__ff5,full_paper_costs__ff5,20,2013,0.8681955050727355,0.07754831243015686
full_paper__ff5,full_paper_costs__ff5,20,2014,-0.31280873824882366,-0.6006777764635566
full_paper__ff5,full_paper_costs__ff5,20,2015,0.2661978832010674,0.6228677864619897
full_paper__ff5,full_paper_costs__ff5,20,2016,0.367939227985696,0.6462365854166442
full_paper__pca5,full_paper_costs__pca5,1,2003,5.567805396970223,5.1644716061842635
full_paper__pca5,full_paper_costs__pca5,1,2004,4.393983055082889,3.3519375384950756
full_paper__pca5,full_paper_costs__pca5,1,2005,3.3399585340886704,2.285551810811568
full_paper__pca5,full_paper_costs__pca5,1,2006,5.386259787118238,0.6285495550997834
full_paper__pca5,full_paper_costs__pca5,1,2007,1.5295916310835285,-1.073186770133286
full_paper__pca5,full_paper_costs__pca5,1,2008,5.432335222185776,1.0159129601635606
full_paper__pca5,full_paper_costs__pca5,1,2009,2.235264030400901,-0.5863210271177454
full_paper__pca5,full_paper_costs__pca5,1,2010,3.0981806740060645,2.061819159009877
full_paper__pca5,full_paper_costs__pca5,1,2011,3.6682367408679055,-1.2402808375484722
full_paper__pca5,full_paper_costs__pca5,1,2012,2.662770754130043,-1.5476592892086496
full_paper__pca5,full_paper_costs__pca5,1,2013,1.204472887004865,-0.7126433728503361
full_paper__pca5,full_paper_costs__pca5,1,2014,0.8448614027245598,0.9374339240336769
