paper,recipe,seeds,smoothing_days,period,start,end,paper_sharpe,paper_net_sharpe,paper_mean,paper_turnover,paper_break_even_bps,paper_net_exposure,paper_max_drawdown,recipe_sharpe,recipe_net_sharpe,recipe_mean,recipe_turnover,recipe_break_even_bps,recipe_net_exposure,recipe_max_drawdown,corr_gross,delta_sharpe,delta_sharpe_lo,delta_sharpe_hi,p_delta_le_0,delta_net_sharpe,delta_net_sharpe_lo,delta_net_sharpe_hi,p_delta_net_le_0
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,1,full,2003-02-10,2016-12-30,2.12286582167189,-3.070563630851854,0.05713658007663497,1.0271259350385447,2.2074455807900404,0.16647920330368618,-0.0379579332581379,1.9140381713621275,-2.6983836382190685,0.05128509388934259,0.8808359233101094,2.310444794007476,-1.2184957482372099e-18,-0.030357025512474878,0.84232070960606,-0.20882765030976258,-0.5249038206540736,0.10185538385204769,0.898,0.37217999263278534,0.0788556003236284,0.6896849963055333,0.0055
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,1,validation,2003-02-10,2005-12-30,2.664438249685199,-2.5898572324726428,0.0675889707737573,0.9786700350932185,2.7405580212498983,0.20468301126048866,-0.020550994097963238,2.6420366964088213,-2.669582393374025,0.0653787988623687,0.9431864379770786,2.7506722698612163,-1.977703579289997e-18,-0.01533664319089556,0.9249915965240825,-0.022401553276377495,-0.4433924684479775,0.4535072683032543,0.4495,-0.07972516090138226,-0.4230439002284208,0.33401997095425695,0.587
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,1,test,2006-01-03,2016-12-30,1.9915671232966299,-3.190663171293054,0.05438098411820257,1.0399079702222818,2.075160131511314,0.1564074157238863,-0.03795793325813712,1.7422268411686674,-2.7078783832144677,0.04756952703115948,0.8643923964126299,2.183822592526045,-1.018343448970856e-18,-0.030357025512475655,0.8239861950799907,-0.24934028212796244,-0.6280241089329097,0.10367578593363125,0.918,0.4827847880785865,0.11644417262073299,0.8641774220644053,0.002
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,5,full,2003-02-10,2016-12-30,1.4502954173432074,-0.8643863666740716,0.03958758363629817,0.4273109928772987,3.6763291484858924,0.2607084915736546,-0.0484106166806495,1.2801009405348553,-1.0130671815738577,0.034069986515751036,0.3840795389593649,3.5200614840300575,2.1702635084562654e-19,-0.0400224970111811,0.7914563588349017,-0.1701944768083521,-0.510522613507546,0.14444305122446344,0.848,-0.14868081489978602,-0.4714761195799478,0.1568558541992721,0.824
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,5,validation,2003-02-10,2005-12-30,2.7654928809094783,0.27949078684656853,0.06967214708070282,0.4288113181396082,6.447515782215442,0.32525095782176244,-0.036112347835187686,2.5854017158654927,-0.10742705328321973,0.0636339129253038,0.42524539355379515,5.93811317674909,2.916355323140461e-18,-0.03445006885048363,0.8908753296066066,-0.1800911650439856,-0.6269612500632241,0.2440045281246564,0.7815,-0.38691784012978825,-0.8083560454012463,0.0025276346586086823,0.974
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,5,test,2006-01-03,2016-12-30,1.138608114716595,-1.1392495348389071,0.0316562974989145,0.42692252764635186,2.9424595807311245,0.24369296237137267,-0.04841061668064939,0.9696989854515383,-1.231683551034296,0.02627595752370571,0.3732277843575488,2.793727505914418,-4.946060614964569e-19,-0.040022497011179436,0.7695584049459641,-0.16890912926505663,-0.582548437121446,0.2080152743696939,0.8225,-0.09243401619538893,-0.4955235113665942,0.2778124741178609,0.7055
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,20,full,2003-02-10,2016-12-30,0.4738655518354156,-0.6514290604472124,0.013481276877623861,0.19773268726222631,2.705527912833921,0.43885104736637864,-0.07355677602369037,0.2527036320304515,-1.0907968561206078,0.006762965493741054,0.18511423916284542,1.4497623078089568,-1.188625188240753e-19,-0.07693332461898994,0.6872012860636135,-0.22116191980496414,-0.6623493233049091,0.20485562705983515,0.8225,-0.43936779567339546,-0.8681872709434253,-0.013171361375181764,0.978
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,20,validation,2003-02-10,2005-12-30,1.4873048268908349,0.374537999071219,0.041130694432213344,0.19974534599848964,8.171256285435865,0.5661379596321766,-0.03459445701983477,1.145716492665642,-0.4159820201132368,0.028539586621193703,0.20768628631206615,5.453047953860016,-1.621847633361878e-19,-0.02931249222084209,0.7941475631804431,-0.34158833422519286,-1.0379170459846603,0.27248391351210255,0.8515,-0.7905200191844558,-1.4860726468452146,-0.1830310002904024,0.9935
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,20,test,2006-01-03,2016-12-30,0.21621632023809112,-0.9131750828241335,0.00619197575272306,0.1971977849529828,1.2460247643214701,0.40529400657402315,-0.07355677602369004,0.03754554392051326,-1.25485105912188,0.0010219277822782762,0.1791571748642186,0.22635258567613573,-1.0744134204767874e-19,-0.07693332461899216,0.6621629335133316,-0.17867077631757786,-0.7006123012616433,0.32924664846852225,0.7495,-0.3416759762977465,-0.8596015003683126,0.17337844643313505,0.901
full_paper__ff5,full_recipe__ff5_cw0.5,0 1,1,full,2003-02-10,2016-12-30,2.12286582167189,-3.070563630851854,0.05713658007663497,1.0271259350385447,2.2074455807900404,0.16647920330368618,-0.0379579332581379,1.4117597205091483,-2.078785136811743,0.040553694524370874,0.6948398241697661,2.3160353454982094,1.9112200628438386e-19,-0.08053747030590286,0.612009124069313,-0.7111061011627418,-1.2755606283182281,-0.18170046208860777,0.994,0.9917784940401106,0.40056174495177177,1.5793292362207934,0.0
