base,other,seeds,smoothing_days,period,start,end,base_sharpe,base_net_sharpe,base_mean,base_turnover,base_break_even_bps,base_net_exposure,base_max_drawdown,other_sharpe,other_net_sharpe,other_mean,other_turnover,other_break_even_bps,other_net_exposure,other_max_drawdown,corr_gross,delta_sharpe,delta_sharpe_lo,delta_sharpe_hi,p_delta_le_0,delta_net_sharpe,delta_net_sharpe_lo,delta_net_sharpe_hi,p_delta_net_le_0
full_paper__ff5,full_paper_costs__ff5,0 1,1,full,2003-02-10,2016-12-30,2.12286582167189,-3.070563630851854,0.05713658007663497,1.0271259350385447,2.2074455807900404,0.16647920330368618,-0.0379579332581379,0.9362224143096421,-0.2032826309990682,0.03268488113143217,0.2788621326111129,4.651112291125978,0.6330075142080158,-0.08403077170778162,0.396489624524258,-1.186643407362248,-1.857713787777722,-0.5350209311190579,1.0,2.8672809998527855,2.0896967092093544,3.6120513055069674,0.0
full_paper__ff5,full_paper_costs__ff5,0 1,1,validation,2003-02-10,2005-12-30,2.664438249685199,-2.5898572324726428,0.0675889707737573,0.9786700350932185,2.7405580212498983,0.20468301126048866,-0.020550994097963238,2.6199496041655337,0.10182547792221294,0.07336253194601379,0.5267722506750163,5.526509001620328,0.6785390971639104,-0.022000977057840765,0.7053829416883785,-0.04448864551966514,-0.8185348114889545,0.7050200987404335,0.551,2.6916827103948555,1.8339096924016518,3.5368734356597162,0.0
full_paper__ff5,full_paper_costs__ff5,0 1,1,test,2006-01-03,2016-12-30,1.9915671232966299,-3.190663171293054,0.05438098411820257,1.0399079702222818,2.075160131511314,0.1564074157238863,-0.03795793325813712,0.601899193022455,-0.266270133123859,0.021960906738277754,0.2135755989278513,4.080356358502605,0.6210038827317417,-0.08403077170778184,0.3393845553029221,-1.3896679302741748,-2.1905700525889222,-0.6170249163368788,0.9995,2.924393038169195,1.9868359841895282,3.8574613790108927,0.0
full_paper__ff5,full_paper_costs__ff5,0 1,5,full,2003-02-10,2016-12-30,1.4502954173432074,-0.8643863666740716,0.03958758363629817,0.4273109928772987,3.6763291484858924,0.2607084915736546,-0.0484106166806495,0.7046991715293556,0.12555158061369687,0.024606665726833576,0.1263294944974404,7.729430035674263,0.660929202036443,-0.11033574935663282,0.3891669870653291,-0.7455962458138519,-1.3892181835013522,-0.12330932905254803,0.9895,0.9899379472877685,0.31420081158721147,1.6316422675664064,0.0025
full_paper__ff5,full_paper_costs__ff5,0 1,5,validation,2003-02-10,2005-12-30,2.7654928809094783,0.27949078684656853,0.06967214708070282,0.4288113181396082,6.447515782215442,0.32525095782176244,-0.036112347835187686,1.873784682519876,0.8499210151788343,0.055249284438249294,0.21672538001455072,10.116175235247262,0.7852654415697743,-0.04120045427087682,0.7602730224611262,-0.8917081983896022,-1.6567165614657542,-0.26104896877632755,0.996,0.5704302283322658,-0.10160255909628196,1.217103481583166,0.0545
full_paper__ff5,full_paper_costs__ff5,0 1,5,test,2006-01-03,2016-12-30,1.138608114716595,-1.1392495348389071,0.0316562974989145,0.42692252764635186,2.9424595807311245,0.24369296237137267,-0.04841061668064939,0.4566126514934056,-0.029713629376146234,0.016528257760299283,0.10253380004242205,6.396751551049093,0.6281500561861968,-0.11033574935663304,0.31658477737218255,-0.6819954632231894,-1.4609918932127042,0.0874553503638485,0.961,1.109535905462761,0.3023239241351711,1.9261446147547696,0.004
full_paper__ff5,full_paper_costs__ff5,0 1,20,full,2003-02-10,2016-12-30,0.4738655518354156,-0.6514290604472124,0.013481276877623861,0.19773268726222631,2.705527912833921,0.43885104736637864,-0.07355677602369037,0.5844135078222398,0.2839477674211091,0.020831137178497966,0.05491484057848609,15.05298784463779,0.7018671525133547,-0.12620934494230585,0.4892889524428769,0.11054795598682415,-0.40967719064392044,0.6161694050225276,0.338,0.9353768278683214,0.39987130472200977,1.4692383978454284,0.0
full_paper__ff5,full_paper_costs__ff5,0 1,20,validation,2003-02-10,2005-12-30,1.4873048268908349,0.374537999071219,0.041130694432213344,0.19974534599848964,8.171256285435865,0.5661379596321766,-0.03459445701983477,1.4893712177604848,1.1058525568936763,0.04533227684419869,0.08117614172278698,22.160450553476103,0.8999905117568472,-0.0382875200596795,0.8707522929641205,0.002066390869649881,-0.5783053556466832,0.5442893209391264,0.5555,0.7313145578224574,0.12781166045371073,1.3343803670411571,0.0085
full_paper__ff5,full_paper_costs__ff5,0 1,20,test,2006-01-03,2016-12-30,0.21621632023809112,-0.9131750828241335,0.00619197575272306,0.1971977849529828,1.2460247643214701,0.40529400657402315,-0.07355677602369004,0.3896454654890372,0.105993129364452,0.014371826251823523,0.048005359382176135,11.880143652466908,0.6496352809901518,-0.12620934494230762,0.4097933412452516,0.1734291452509461,-0.4274647524333308,0.8154467425199863,0.256,1.0191682121885854,0.40955398500265155,1.6795371755909234,0.0005
full_paper__pca5,full_paper_costs__pca5,0 1,1,full,2003-02-10,2016-12-30,2.8418439938307727,-3.6323027739944207,0.06426620901350985,1.0677731233974406,2.388378517442563,0.058849551735491806,-0.03201093416864975,0.7401186189725898,-1.095628569280777,0.012315391470307212,0.22776356949182225,2.1456724260901763,0.8635979032533084,-0.06888210849195198,0.27787515486712655,-2.101725374858183,-2.9069068642240725,-1.2940632732097856,1.0,2.536674204713644,1.6227461600272204,3.510877954192535,0.0
