suite,variant,sharpe_mean,sharpe_std,sharpe_count,mean_return_mean,mean_return_std,mean_return_count,volatility_mean,volatility_std,volatility_count,turnover_mean,turnover_std,turnover_count,net_sharpe_mean,net_sharpe_std,net_sharpe_count
architecture,d16_h4_ff32_drop50,0.18566089788741616,0.3920981420992423,3,0.0065394779858764995,0.013529503647011007,3,0.0345395358598483,0.0007262861439223553,3,0.8441352692172627,0.044029841200098264,3,-3.002002497844668,0.3112319744054215,3
architecture,d8_h2,0.37321484585957315,0.1686649204191306,3,0.011621386909856932,0.005374128931575797,3,0.03134225667224033,0.002841733304248922,3,0.704441809098617,0.046339293175728054,3,-2.550604963882277,0.1386833570844561,3
architecture,d8_h4_drop25,0.4866120289156939,0.15943077148157478,3,0.014981973925330433,0.0039443895604593365,3,0.03134921850358564,0.003388559348460626,3,0.7115633213468668,0.06686880273097479,3,-2.4639439724058296,0.12685003688946767,3
architecture,d8_h4_drop50,0.27504564523053016,0.2156378460936386,3,0.007521547698081833,0.005231669398544971,3,0.029037359396366133,0.003393795688453576,3,0.5967201990183723,0.06653899893583083,3,-2.385526899977249,0.23152531964061937,3
ensemble,final-cnn_neutral_cw0.25_b1,0.4838566861834281,,1,0.0224530711601431,,1,0.0464043833665889,,1,0.8595325208449793,,1,-2.118639123203062,,1
ensemble,final-cnn_neutral_cw0.25_b10,0.2591765705853235,,1,0.0118409389604325,,1,0.0456867645624412,,1,0.2279005067193683,,1,-0.6462690884793032,,1
ensemble,final-cnn_neutral_cw0.25_b2,0.5797088825262823,,1,0.026276509395618,,1,0.0453270774135959,,1,0.5916336115328892,,1,-1.342824018173719,,1
ensemble,final-cnn_neutral_cw0.25_b20,0.0400433914909239,,1,0.0018540971129544,,1,0.0463021997868162,,1,0.1518848067823365,,1,-0.6467821515670499,,1
ensemble,final-cnn_neutral_cw0.25_b3,0.7212574823208364,,1,0.0329735793422779,,1,0.0457167934482659,,1,0.4692224758498439,,1,-0.8485223337784598,,1
ensemble,final-cnn_neutral_cw0.25_b5,0.5581276781146453,,1,0.0255304566517766,,1,0.0457430399044508,,1,0.3470622945328316,,1,-0.6744389524035473,,1
ensemble,final-cnn_neutral_cw0.5_b1,0.3727021600563667,,1,0.0171216972924564,,1,0.045939356213731,,1,0.6322167032134163,,1,-1.6359118424749646,,1
ensemble,final-cnn_neutral_cw0.5_b10,0.2834295254613629,,1,0.0128958784587203,,1,0.0454994180219177,,1,0.1830103464466935,,1,-0.5016103903286969,,1
ensemble,final-cnn_neutral_cw0.5_b2,0.4915712330034423,,1,0.0225219230302154,,1,0.0458161941100767,,1,0.4550765194287223,,1,-1.0352408890060385,,1
ensemble,final-cnn_neutral_cw0.5_b20,0.2669025627210512,,1,0.0121921005919358,,1,0.0456799682537262,,1,0.1255523655164501,,1,-0.3568285288543559,,1
