run_name,model,lookback,seed,annualized_sharpe,annualized_return,annualized_volatility,max_drawdown,sortino_ratio,calmar_ratio,daily_turnover,net_sharpe_5bps,net_sharpe_10bps,breakeven_cost_bps,win_rate,cvar_95,hac_t_stat
full_bench__pca5_fourier_ffn__s0,fourier_ffn,30,0,1.318811787359165,0.026336284401904782,0.019969706560358763,-0.03497759938063083,2.0882584999403457,0.7529471681378784,0.24135709454726653,-1.7269008595480753,-4.772613506455316,2.1650298965306995,0.5224349814232638,0.002587714879914194,4.522081071892752
ensemble__final-cnn_neutral_cw0.5_k8_b5__ens,cnn_transformer,30,-1,1.1935297369141533,0.04587008626810746,0.038432294436754985,-0.039801133979440295,1.8432720802574574,1.152481893902895,0.11862327525438023,0.4157186329402157,-0.3620924710337219,7.6723624207487875,0.5367498314227916,0.004874127256813872,2.8551928626379137
ensemble__final-cnn_neutral_cw0.5_k8_b3__ens,cnn_transformer,30,-1,1.038763878651916,0.040940374368178094,0.03941258953026897,-0.044120727603852994,1.6148741967693323,0.9279170265678711,0.15103357949677837,0.07307087327459576,-0.8926221321027245,5.378333864218293,0.5185434929197572,0.004956414876301377,2.3981104712808357
ensemble__final-cnn_neutral_cw0.5_k8_b1__ens,cnn_transformer,30,-1,1.0092322681102985,0.03869062368075212,0.03833668908862479,-0.047109252311908434,1.533060117936504,0.8212956432546009,0.23611968389481977,-0.542862129085572,-2.0949565262814422,3.2511948691189563,0.5151719487525287,0.00493445353612769,2.3406846723872854
ensemble__final-cnn_neutral_cw0.5_k8_b2__ens,cnn_transformer,30,-1,0.9821399122373314,0.037887522395078914,0.0385765021083101,-0.04559049130190995,1.4979914752211065,0.8310400110448453,0.1793670292951633,-0.18957055688382088,-1.3612810260049732,4.1910520479260995,0.5198921105866486,0.004893627091770427,2.2623389072941946
full_bench__pca5_fourier_ffn_neutral__s0,fourier_ffn,30,0,0.9661217269474078,0.026373854924655184,0.02729868730722675,-0.049416380331119614,1.5758672739650905,0.5337067334340341,0.3612718898799579,-2.368856077118956,-5.703833881185321,1.4484680014502764,0.5115747356387539,0.0032525117092911124,3.4412523972573643
ensemble__final-cnn_neutral_cw0.5_k8_b10__ens,cnn_transformer,30,-1,0.96410352333268,0.03749515940594713,0.03889121707214092,-0.046978076970662364,1.4545538227310204,0.7981416401817387,0.08397415607745719,0.4199835670899658,-0.12413638915274827,8.859292075869249,0.5279838165879973,0.005136244066479532,2.334290384734236
full_bench__ff5_fourier_ffn__s0,fourier_ffn,30,0,0.9435582838606401,0.033517129728879866,0.03552205550222292,-0.08860297899140013,1.4754849263741878,0.3782844562385724,0.30370562689841324,-1.2109853340786643,-3.3655289520179688,2.189694086497768,0.5215775935981709,0.004581856663976256,3.211969352267462
final__cnn_neutral_cw0.5_k8__s2,cnn_transformer,30,2,0.9350674370643844,0.037581356216342385,0.04019106507903634,-0.04570623931969453,1.4236018048558703,0.8222368931619409,0.2414366405251297,-0.5787524453568929,-2.09257232777817,3.0884369003292256,0.5111260957518543,0.005276123278829372,2.153864310802427
factors__fourier_ffn_k0__s1,fourier_ffn,30,1,0.8556488236052422,0.16552898181016296,0.19345434393600075,-0.3009118454275085,1.2580707959523711,0.5500912786434007,0.1862581583544317,0.6130228119564953,0.3703968003077485,17.6330810079007,0.5300067430883345,0.027731406171803807,2.4203781443799475
models__ou_ffn__s2,ou_ffn,30,2,0.8519400681865666,0.0297334590393569,0.03490088111790225,-0.048226339093344284,1.3406223695565407,0.616539832762471,0.11652516110992406,0.01057619257259089,-0.8307876830413848,5.062851477696692,0.523937963587323,0.0048282646720115875,2.1584808957340935
full_bench__pca5_reversal__s0,reversal,30,0,0.8285791016517299,0.03784220939532812,0.04567120908539887,-0.11237972261998919,1.2938443755713391,0.33673520910256305,0.12511586569202454,0.13822737272257177,-0.5521243562065863,6.001137296613885,0.5272935124321234,0.0059471550596832505,2.9857617567983534
factors__cnn_transformer_k0__s0,cnn_transformer,30,0,0.8272145210085179,0.14306839966914484,0.17295199254326396,-0.1853588862361535,1.2865934048440966,0.7718453783050415,0.4133518987567077,0.22493942168791567,-0.37733567763268644,6.867414259211937,0.5448415374241402,0.02379509986989366,2.5117604182854274
factors__cnn_transformer_k8__s0,cnn_transformer,30,0,0.7760806595715736,0.0281287419088539,0.03624461138405646,-0.042457427069436116,1.1100625010460057,0.690374769639474,0.4041541236657197,-2.0339050258746907,-4.843890711320954,1.3809334751972613,0.5414699932569117,0.005226014711221014,1.88931203822749
factors__cnn_transformer_k0__s2,cnn_transformer,30,2,0.7628535901417847,0.12709382561650784,0.16660316902078953,-0.2434375183568689,1.1609068358646892,0.5220798604683184,0.4218264035261323,0.12480898202679314,-0.5132356260881983,5.978058433841506,0.5273095077545515,0.022347258329854642,2.1137159721487007
factors__cnn_transformer_k0__s1,cnn_transformer,30,1,0.7500146438085679,0.12924988650383085,0.17232981725196866,-0.185323397833298,1.1577038697880946,0.6974288622750922,0.42592552209151013,0.12717854220622357,-0.49565755939612055,6.0209631545043445,0.519217801753203,0.023827733594789915,2.143965516817363
ensemble__final-cnn_neutral_cw0_b3__ens,cnn_transformer,30,-1,0.7306174963538515,0.03319891701143955,0.04543953187149067,-0.07505095138444096,1.0678394309258152,0.44235171438908677,0.29090956197997175,-0.8827179980848138,-2.496053492523479,2.264307389480879,0.5151719487525287,0.006384676775077357,1.732997156092095
ensemble__neutral-cnn_transformer_neutral_b3__ens,cnn_transformer,30,-1,0.7306174963538515,0.03319891701143955,0.04543953187149067,-0.07505095138444096,1.0678394309258152,0.44235171438908677,0.29090956197997175,-0.8827179980848138,-2.496053492523479,2.264307389480879,0.5151719487525287,0.006384676775077357,1.732997156092095
factors__cnn_transformer_k1__s2,cnn_transformer,30,2,0.7233291008212459,0.027922576444255477,0.038602866126294426,-0.11427853742549365,1.0023732776409284,0.24433788770232692,0.32807098413480384,-1.4183224473174834,-3.559973995456213,1.688717993013098,0.5185434929197572,0.005914314572526002,1.7331673179301408
ensemble__final-cnn_neutral_cw0.25_b3__ens,cnn_transformer,30,-1,0.7210142661674479,0.032973579342276856,0.04573221486663219,-0.05958209763463962,1.0470574532772114,0.5534142074767074,0.23461123792492194,-0.5717731514001587,-1.8645605689677651,2.7886033557011403,0.5300067430883345,0.006348531250618049,1.7050100706219986
ensemble__models-cnn_transformer_b3__ens,cnn_transformer,30,-1,0.7186293635079547,0.01850621659914482,0.02575210190244331,-0.05966381589309999,1.0502056855699753,0.3101748743711293,0.1430680029202018,-0.6813781726718476,-2.08138570885165,2.56651962556172,0.5232636547538773,0.003651086457192958,1.65548079933481
factors__fourier_ffn_k0__s0,fourier_ffn,30,0,0.7055868170777159,0.1426931503219,0.20223329981260585,-0.30544052824246204,1.028417551603885,0.4671716328640868,0.1447742077925231,0.52518576345538,0.3447847098330443,19.556061422868424,0.5320296695886716,0.02901112542514261,1.9791145333765288
final__cnn_neutral_cw0.5_k7__s2,cnn_transformer,30,2,0.6829234487229974,0.02799823551044365,0.04099761922481607,-0.047996816462237746,1.0124695368042438,0.5833352620891358,0.22139286918212542,-0.6779117433879881,-2.0387469354989736,2.509207039478518,0.5178691840863116,0.005460667330585112,1.5970168888134206
full_bench__ff5_reversal__s0,reversal,30,0,0.6796321390396238,0.03841208454639828,0.05651893478827785,-0.11824103538565056,1.0373844041206663,0.32486255233739564,0.12520234292858803,0.12139461145359551,-0.4368429161324327,6.087302496291669,0.5155758788225208,0.00769621409085334,2.4163971603370054
protocol__rolling_w750__s2,cnn_transformer,30,2,0.6615682629363043,0.02284832088409362,0.034536603649461116,-0.04490009002831741,0.9635892606614997,0.5088702688499006,0.3642569411612716,-1.99627123119336,-4.654110725323025,1.2445602234399438,0.5084288604180714,0.0048521122732556425,1.7358994311732077
ensemble__final-cnn_neutral_cw0.5_k7_b5__ens,cnn_transformer,30,-1,0.6548814468683697,0.026219177799616217,0.04003652558031048,-0.06789284571783338,0.9558418187794766,0.3861846932824919,0.11449835399454322,-0.06580010050383213,-0.7864816478760339,4.543486989893407,0.5097774780849629,0.005512279844979686,1.5505456306471508
epochs__e100__s0,cnn_transformer,30,0,0.6376062530368777,0.02278708809875948,0.035738495333485276,-0.04764553467048238,0.9215010053281416,0.48611452255388016,0.46704065769067765,-2.6556002639083625,-5.9488067808536025,0.9680629650100375,0.5111260957518543,0.005015331879850919,1.6103293750070062
ensemble__final-cnn_neutral_cw0.5_k8_b20__ens,cnn_transformer,30,-1,0.6330646595713906,0.02486912609836715,0.03928370620973301,-0.05741641335821812,0.9246792974347603,0.43313618256178615,0.058480141199513815,0.2579219603668483,-0.11722073883769402,8.437651337927534,0.5144976399190829,0.0052272887189100115,1.5754079754251913
ensemble__final-cnn_neutral_cw0.5_k6_b3__ens,cnn_transformer,30,-1,0.6274748122372531,0.027693934462838146,0.044135531694245694,-0.05294172254044194,0.9179966180403504,0.5231022553465909,0.1433025419398988,-0.19073761622121613,-1.0089500446796853,3.8344248413546462,0.528658125421443,0.006014759649405875,1.580487915631642
models__cnn_transformer__s0,cnn_transformer,30,0,0.6269635130961626,0.017207549364511836,0.027445854511588735,-0.053541319845203494,0.9072634748943023,0.32138821781498983,0.3173992367751013,-2.2873056576287945,-5.201574828353752,1.0756788003563145,0.5313553607552259,0.003917296603658884,1.5537467976680404
